no,date,open,high,low,close,volume
211,2015-02-20,240.33,248,239.25,244.75,20399.905
212,2015-02-21,244.85,248,242.79,244.54,12622.081
213,2015-02-22,244.33,247.48,234.01,236.05,16701.336
214,2015-02-23,236.04,241.03,232.14,239.75,14172.453
215,2015-02-24,239.72,240.95,237,239.52,11325.686
216,2015-02-25,239.7,240.27,234.64,237.4,9964.471
217,2015-02-26,237.66,238.74,233.95,236.8,11372.754
218,2015-02-27,237.18,260.8,236.79,254.23,30341.787
219,2015-02-28,253.83,255.99,250.01,255.58,10975.879
220,2015-03-01,255.4,263.6,246.34,260.34,13775.34
221,2015-03-02,260.43,277.35,257.75,275.47,18540.6934
222,2015-03-03,275.37,287.61,267.12,281.95,21306.078
223,2015-03-04,281.86,285,268.52,273.65,16728.236
224,2015-03-05,273.59,283.29,264.74,275.52,15515.929
225,2015-03-06,275.4,277.86,269.4,272.75,29023.704
226,2015-03-07,272.96,278.19,269.32,276.45,18943.504
227,2015-03-08,276.33,279.68,271.74,275.22,17218.516
228,2015-03-09,275.22,293.7,274.12,290.28,44449.203
229,2015-03-10,290.2,303.4,290,292.14,42970.319
230,2015-03-11,292.25,299.02,291.04,296.67,20711.768
231,2015-03-12,296.75,297.36,292.2,294.01,20208.5444802
232,2015-03-13,293.89,294.31,284.23,284.23,27239.86
233,2015-03-14,284,286.87,281,282.4,21142.61
234,2015-03-15,282.4,286.4,281.34,285.19,12430.87
235,2015-03-16,285.19,294.34,285.02,291.03,15388.083
236,2015-03-17,291,292.34,283.9,285.78,18784.492
237,2015-03-18,285.76,286.54,248.56,255.98,52736.889
238,2015-03-19,256.01,264.86,246.43,260.2,55160.337
239,2015-03-20,260.16,263.74,257.9,261.23,14295.6
240,2015-03-21,261.25,262,253.01,259.59,15106.661
241,2015-03-22,259.57,269.79,259.22,267.66,17628.345
242,2015-03-23,267.7,269.92,261,266.6,21705.234
243,2015-03-24,266.65,266.84,242,245.17,37236.286
244,2015-03-25,245.21,248.05,234.07,245.06,29425.447
245,2015-03-26,245.04,255,243.16,247.79,20751.441
246,2015-03-27,247.8,249.8,243.99,246.58,14276.649
247,2015-03-28,246.55,254.35,246.41,252.68,12184.448
248,2015-03-29,252.72,252.73,239.09,242.59,17858.304
249,2015-03-30,242.61,248.6,237.04,246.55,18928.245
250,2015-03-31,246.54,248.63,242.8,244.34,20490.0046
251,2015-04-01,244.31,248.36,239.2,247.1,16419.8987
252,2015-04-02,247.08,254.49,245.85,253.19,20285.573
253,2015-04-03,253.2,257.5,251.99,255.12,17281.6179
254,2015-04-04,255.1,256.26,251.7,254.06,8679.566
255,2015-04-05,254.01,262,252.35,261.18,15018.4
256,2015-04-06,261.3,262.49,253.77,255.99,14231.14073558
257,2015-04-07,256,256.73,252.18,253.91,10697.86
258,2015-04-08,253.92,254.44,243,245.01,25639.544
259,2015-04-09,244.99,246.19,237.59,243.81,15564.526
260,2015-04-10,243.78,244.04,232.82,236.16,24480.314
261,2015-04-11,236.27,240.79,233.94,236.7,14261.941
262,2015-04-12,236.7,237.82,233.43,236.17,9444.058
263,2015-04-13,236.16,236.97,220.84,224.11,27339.513
